symbol	alias_symbol	prev_symbol	name
CDKN2AIPNLP3			CDKN2A interacting protein N-terminal like pseudogene 3
CDKN2B	"P15|MTS2|INK4B|TP15|CDK4I|p15INK4b"		cyclin dependent kinase inhibitor 2B
CDKN2B-AS1	"ANRIL|RP11-145E5.4|NCRNA00089|p15AS|CDKN2B-AS|PCAT12"	CDKN2BAS	CDKN2B antisense RNA 1
CDKN2C	"INK4C|p18"		cyclin dependent kinase inhibitor 2C
CDKN2D	"INK4D|p19"		cyclin dependent kinase inhibitor 2D
CDKN3	"KAP|CDI1"		cyclin dependent kinase inhibitor 3
CDNF		ARMETL1	cerebral dopamine neurotrophic factor
CDO1			cysteine dioxygenase type 1
CDON	"ORCAM|CDO|CDON1|Ihog"		cell adhesion associated, oncogene regulated
CDPF1	CDKN1A	C22orf40	cysteine rich DPF motif domain containing 1
CDPF1P1			CDPF1 pseudogene 1
CDR1	"CDR62A|CDR34"	CDR	cerebellar degeneration related 1
CDR2	"CDR62|Yo"		cerebellar degeneration related protein 2
CDR2-DT			CDR2 divergent transcript
CDR2L	HUMPPA		cerebellar degeneration related protein 2 like
CDRT2			CMT1A duplicated region transcript 2
CDRT3			CMT1A duplicated region transcript 3
CDRT4	FLJ36674		CMT1A duplicated region transcript 4
CDRT5			CMT1A duplicated region transcript 5
CDRT7	"NCRNA00025|LINC00025"		CMT1A duplicated region transcript 7
CDRT8			CMT1A duplicated region transcript 8
CDRT10			CMT1A duplicated region transcript 10
CDRT11			CMT1A duplicated region transcript 11
CDRT12			CMT1A duplicated region transcript 12
CDRT13			CMT1A duplicated region transcript 13
CDRT15			CMT1A duplicated region transcript 15
CDRT15L2			CMT1A duplicated region transcript 15 like 2
CDRT15P1		CDRT15P	CDRT15 pseudogene 1
CDRT15P2		CDRT15L1	CDRT15 pseudogene 2
CDRT15P3	MGC50273	C2orf27B	CDRT15 pseudogene 3
CDRT15P4			CDRT15 pseudogene 4
CDRT15P5		C2orf27AP2	CDRT15 pseudogene 5
